PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin_100,FlowThresholdMin_100,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
SS400001,Lower Ovens reach 1,Lower Ovens FLOWs Study (2024),,403220,OB1,7,6,100,,,1,1,1,15000,15000,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G5+V-V1+V-V3+V10
SS400002,Lower Ovens reach 2,Lower Ovens FLOWs Study (2024),,403227,BF1,12,5,100,,,1,182,1,60,48,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-F1+V-V1+V-V3+V-V10+V-M2+V-MM1
SS400002,Lower Ovens reach 2,Lower Ovens FLOWs Study (2024),,403227,F1,12,5,100,,,2,3,3,430,430,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-F1+V-V1+V-V3+V-V5+V-M2+V-MM1
SS400002,Lower Ovens reach 2,Lower Ovens FLOWs Study (2024),,403227,BF2,6,11,100,,,1,183,1,200,160,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-V1+V-V3+V-V5+V-V10+V-M2+V-MM1
SS400002,Lower Ovens reach 2,Lower Ovens FLOWs Study (2024),,403227,F2,6,11,100,,,4,1,1,260,260,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G2+V-G5+V-V1+V-V3+V-V5+V-M2+V-MM1
SS400002,Lower Ovens reach 2,Lower Ovens FLOWs Study (2024),,403227,BK1,7,6,100,,,1,1,1,8500,8500,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G2+V-G5+V-F1+V-V1+V-V3+V-V5+V-V10+V-M2
SS400002,Lower Ovens reach 2,Lower Ovens FLOWs Study (2024),,403227,OB1,7,6,100,,,1,1,1,9500,9500,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G5+V-Vl+V-V3+V10
SS400003,Lower Ovens reach 3,Lower Ovens FLOWs Study (2024),,403223,BF1,12,5,100,,,1,182,1,60,48,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-F1+V-V1+V-V2+V-V3+V-V10+V-M2+V-MM1
SS400003,Lower Ovens reach 3,Lower Ovens FLOWs Study (2024),,403223,F1,12,5,100,,,3,4,4,120,120,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-F1+V-V1+V-V3+V-V6+V-M2+V-MM1
SS400003,Lower Ovens reach 3,Lower Ovens FLOWs Study (2024),,403223,BF2,6,11,100,,,1,183,1,130,104,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-V1+V-V2+V-V3+V-V6+V-V10+V-M2+V-MM1
SS400003,Lower Ovens reach 3,Lower Ovens FLOWs Study (2024),,403223,F2,6,11,100,,,2,5,5,650,650,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G2+V-G3+V-V1+V-V3+V-V6+V-M2+V-MM1
SS400003,Lower Ovens reach 3,Lower Ovens FLOWs Study (2024),,403223,BK1,7,6,100,,,1,5,5,4300,4300,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G2+V-G3+V-F1+V-F2+V-V1+V-V2+V-V3+V-V6+V-VB+V-V10+V-M2
SS400003,Lower Ovens reach 3,Lower Ovens FLOWs Study (2024),,403223,OB1,7,6,100,,,1,3,3,7500,7500,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G3+V-F2+V-F3+V-V1+V-V2+V-V3+V-V8+V-V10
SS400004,Lower Ovens reach 4,Lower Ovens FLOWs Study (2024),,403230,BF1,12,5,100,,,1,182,1,170,136,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-F1+V-V1+V-V2+V-V3+V-V10+V-M2+V-MM1
SS400004,Lower Ovens reach 4,Lower Ovens FLOWs Study (2024),,403230,F1,12,5,100,,,2,3,3,650,650,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-F1+V-V1+V-V3+V-V6+V-M2+V-MM1
