water_year,Barwon-Darling,Border Rivers,Campaspe,Condamine-Balonne,Eastern Mt Lofty Ranges,Goulburn-Broken,Gwydir,Lachlan,Loddon,Lower Darling,Macquarie-Castlereagh,Moonie,Murray,Murrumbidgee,Namoi,Ovens,Paroo,Warrego,Wimmera-Avoca,Northern Basin ,Southern Basin ,Total MDB
2006,Moderate,Very Dry,Very Dry,Very Dry,Dry,Very Dry,Dry,Very Dry,Very Dry,Moderate,Very Dry,Dry,Very Dry,Very Dry,Dry,Very Dry,Dry,Dry,Very Dry,Very Dry,Very Dry,Very Dry
2007,Wet,Moderate,Very Dry,Wet,Dry,Very Dry,Moderate,Very Dry,Very Dry,Moderate,Moderate,Moderate,Very Dry,Very Dry,Moderate,Very Dry,Moderate,Very Wet,Very Dry,Moderate,Very Dry,Dry
2008,Wet,Moderate,Very Dry,Moderate,Dry,Very Dry,Moderate,Very Dry,Very Dry,Dry,Moderate,Moderate,Very Dry,Very Dry,Moderate,Very Dry,Moderate,Moderate,Very Dry,Moderate,Very Dry,Very Dry
2009,Wet,Dry,Very Dry,Very Wet,Moderate,Dry,Very Dry,Very Dry,Very Dry,Moderate,Moderate,Very Wet,Dry,Dry,Moderate,Dry,Very Wet,Very Wet,Dry,Wet,Dry,Moderate
2010,Very Wet,Very Wet,Very Wet,Very Wet,Wet,Very Wet,Wet,Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet
2011,Very Wet,Wet,Moderate,Very Wet,Moderate,Moderate,Very Wet,Very Wet,Moderate,Very Wet,Wet,Very Wet,Wet,Very Wet,Wet,Moderate,Very Wet,Very Wet,Moderate,Very Wet,Wet,Very Wet
2012,Moderate,Wet,Moderate,Wet,Moderate,Dry,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Wet,Moderate,Dry,Moderate,Moderate,Moderate
2013,Moderate,Moderate,Moderate,Moderate,Wet,Dry,Moderate,Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Moderate
2014,Moderate,Moderate,Very Dry,Moderate,Dry,Very Dry,Dry,Dry,Very Dry,Wet,Very Dry,Moderate,Dry,Dry,Very Dry,Dry,Moderate,Dry,Very Dry,Dry,Dry,Very Dry
2015,Moderate,Dry,Very Dry,Moderate,Dry,Very Dry,Moderate,Moderate,Very Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Very Dry,Moderate,Dry,Dry
2016,Moderate,Moderate,Very Wet,Moderate,Very Wet,Moderate,Moderate,Very Wet,Very Wet,Wet,Wet,Moderate,Very Wet,Wet,Moderate,Wet,Moderate,Moderate,Wet,Moderate,Wet,Wet
2017,Moderate,Dry,Moderate,Very Dry,Moderate,Moderate,Dry,Moderate,Dry,Moderate,Very Dry,Dry,Moderate,Moderate,Very Dry,Moderate,Very Dry,Very Dry,Dry,Very Dry,Moderate,Dry
2018,Moderate,Very Dry,Dry,Dry,Very Dry,Very Dry,Very Dry,Dry,Dry,Moderate,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Dry,Very Dry,Moderate,Dry,Very Dry,Very Dry,Very Dry
2019,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,
