Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF1_S_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF1_S_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF2_P_pd,,2.0,20,40,3.0,0.3,3.0,4.0,0.3,0.4,5.5,22.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF2_P_sd,,2.0,20,40,3.0,0.3,3.0,4.0,0.3,0.4,5.5,22.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF2_S_pd,,2.0,20,40,3.0,0.3,3.0,4.0,0.3,0.4,6.25,25.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF2_S_sd,,2.0,20,40,3.0,0.3,3.0,4.0,0.3,0.4,6.25,25.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,OB1,,1.0,10,0,1.0,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF1_a_P_pd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF1_a_P_sd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF1_a_S_pd,,2.0,20,70,2.0,0.2,2.0,2.0,0.2,0.2,4.5,9.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF1_a_S_sd,,2.0,20,70,2.0,0.2,2.0,2.0,0.2,0.2,4.5,9.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF2_a_P_pd,,2.0,20,70,2.0,0.2,2.0,2.0,0.2,0.2,8.5,17.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF2_a_P_sd,,2.0,20,70,2.0,0.2,2.0,2.0,0.2,0.2,8.5,17.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF2_a_S_pd,,9.0,90,70,9.0,0.9,9.0,10.0,0.9,1.0,6.5,65.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,SF2_a_S_sd,,10.0,100,70,10.0,1.0,10.0,10.0,1.0,1.0,6.5,65.0,4,245.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BF1_P,,4.0,40,100,4.0,0.4,4.0,24.0,0.4,2.4,73.33333333333333,1760.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BF1_S,,8.0,80,100,8.0,0.8,8.0,11.0,0.8,1.1,164.63636363636363,1811.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BF2_P,,0.0,0,100,0.0,0.0,0.0,48.0,0.0,4.363636363636363,24.166666666666668,1160.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BF2_S,,0.0,0,100,0.0,0.0,0.0,49.0,0.0,4.454545454545454,25.775510204081634,1263.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BK1_pd,,1.0,10,0,3.0,0.3,3.0,3.0,0.3,0.3,10.333333333333334,31.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BK1_sd,,1.0,10,0,3.0,0.3,3.0,3.0,0.3,0.3,10.333333333333334,31.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BKPP_pd,,1.0,10,0,3.0,0.3,3.0,3.0,0.3,0.3,10.333333333333334,31.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,BKPP_sd,,1.0,10,0,3.0,0.3,3.0,3.0,0.3,0.3,10.333333333333334,31.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,F1_a,,1.0,10,70,1.0,0.1,1.0,3.0,0.1,0.3,18.333333333333332,55.0,2,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,F1_pd,,9.0,90,100,20.0,2.0,20.0,24.0,2.0,2.4,12.625,303.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,F1_sd,,9.0,90,100,23.0,2.3,23.0,24.0,2.3,2.4,12.625,303.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,F2_pd,,9.0,90,100,12.0,1.2,32.0,34.0,3.2,3.4,15.764705882352942,536.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,F2_sd,,9.0,90,100,12.0,1.2,33.0,34.0,3.3,3.4,15.764705882352942,536.0,0,52.0,3653.0
NCCMA_flow,407202,Loddon River: Lower Loddon River at Reach 5,VIC,Loddon,LF1,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,52.0,3653.0
NCCMA_flow,407203,Loddon River: Upper Loddon River System at Reach 3a,VIC,Loddon,BF1_a_P,,5.0,50,70,5.0,0.5,5.0,17.0,0.5,1.7,103.23529411764706,1755.0,0,67.0,3653.0
