scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,State,SWSDLName,Multigauge
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2021,2022-02-26,2022-03-20,23,23,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2021,2022-03-26,2022-04-30,36,36,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2022,2022-10-01,2022-11-24,55,55,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2022,2022-12-12,2022-12-28,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2022,2023-01-02,2023-02-02,32,32,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2022,2023-02-15,2023-03-01,15,15,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1889,1889-07-16,1889-09-03,50,50,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1889,1889-11-19,1890-01-01,44,44,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1889,1890-01-03,1890-01-13,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1889,1890-01-15,1890-06-30,167,167,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1890,1890-11-14,1890-11-23,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1890,1890-12-08,1891-01-01,25,25,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1890,1891-01-12,1891-02-21,41,41,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1890,1891-06-09,1891-06-30,22,22,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1891,1891-07-10,1891-07-25,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1891,1891-08-01,1891-08-26,26,26,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1891,1891-09-06,1891-10-06,31,31,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1891,1891-11-21,1892-01-12,53,53,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1891,1892-01-14,1892-02-13,31,31,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1891,1892-02-16,1892-03-01,15,15,NSW,NSW Border Rivers,
